date,open,close,high,low,volume
2025-01-02,288.93,278.14,289.22,274.56,10859474.0
2025-01-03,279.32,277.18,283.29,274.89,8931052.0
2025-01-06,277.91,278.07,283.29,275.26,6085857.0
2025-01-07,279.32,288.69,288.78,278.57,9782357.0
2025-01-08,285.97,285.43,287.88,279.15,7883237.0
2025-01-09,285.38,285.01,287.82,284.13,4885459.0
2025-01-10,284.94,283.5,291.55,282.88,6836658.0
2025-01-13,279.29,282.62,284.5,279.15,4913092.0
2025-01-14,284.82,289.19,290.78,275.71,9876477.0
2025-01-15,287.36,282.5,288.8,282.38,7115222.0
2025-01-16,285.83,289.93,297.04,285.27,11348490.0
2025-01-17,288.19,287.14,294.84,285.72,8687960.0
2025-01-20,288.21,287.14,291.13,286.27,6782933.0
2025-01-21,288.94,290.86,293.3,286.34,8022498.0
2025-01-22,290.73,284.43,291.52,283.96,7812923.0
2025-01-23,287.45,285.02,293.21,283.17,9821647.0
2025-01-24,284.61,280.37,286.2,280.21,10831726.0
2025-01-27,280.37,278.58,280.94,277.35,6054420.0
2025-02-05,283.02,279.35,283.75,275.63,8674773.0
2025-02-06,277.48,303.93,303.93,277.2,22561276.0
2025-02-07,302.82,301.18,304.82,296.76,13960739.0
2025-02-10,302.23,300.0,302.23,295.7,8622243.0
2025-02-11,298.54,296.82,300.75,294.21,7167471.0
2025-02-12,299.27,306.41,307.53,299.01,13270244.0
2025-02-13,305.78,302.71,310.82,302.15,8064980.0
2025-02-14,300.05,308.81,309.47,297.21,10162509.0
2025-02-17,310.36,316.18,316.79,308.63,12378772.0
2025-02-18,320.87,319.23,330.05,317.05,15939831.0
2025-02-19,319.21,337.7,338.44,317.76,14744391.0
2025-02-20,336.22,336.96,341.08,333.55,8780545.0
2025-02-21,336.22,343.63,349.77,334.75,11199323.0
2025-02-24,343.61,345.83,350.26,339.92,9415550.0
2025-02-25,340.69,336.98,343.82,332.01,10755982.0
2025-02-26,339.92,343.02,347.03,334.01,8101988.0
2025-02-27,342.13,340.23,343.98,335.48,5965264.0
2025-02-28,339.84,330.52,342.56,327.27,9823765.0
2025-03-03,329.82,321.69,330.38,319.6,7001650.0
2025-03-04,319.23,318.13,321.44,314.05,7343394.0
2025-03-05,318.18,319.51,325.37,317.79,5577808.0
2025-03-06,329.48,341.68,351.46,329.48,13864596.0
2025-03-07,337.59,343.61,347.81,337.54,7918821.0
2025-03-10,341.76,336.93,346.4,335.06,5667314.0
2025-03-11,337.71,328.29,342.6,325.38,8358192.0
2025-03-12,328.29,327.21,330.68,323.2,6044367.0
2025-03-13,326.11,319.99,328.01,317.45,5760503.0
2025-03-14,319.99,324.48,328.42,318.64,6252044.0
2025-03-17,328.42,322.11,328.46,321.54,4519393.0
2025-03-18,324.4,324.16,327.87,322.4,4089755.0
2025-03-19,322.18,321.42,323.83,319.43,3426175.0
2025-03-20,320.7,316.98,320.7,316.27,4186841.0
2025-03-21,317.38,309.47,318.97,306.04,7312774.0
2025-03-24,309.47,317.31,320.59,308.98,7420512.0
2025-03-25,318.12,316.92,318.49,315.09,3354753.0
2025-03-26,315.17,316.0,320.56,314.93,3530914.0
2025-03-27,315.16,318.04,321.84,313.46,4380938.0
2025-03-28,318.11,307.33,318.93,304.45,9661277.0
2025-03-31,304.45,307.4,309.58,303.77,6772440.0
2025-04-01,308.14,317.16,317.5,306.67,8534652.0
2025-04-02,316.99,317.16,317.6,310.8,5080041.0
2025-04-03,314.13,325.12,331.42,313.93,8848762.0
2025-04-07,321.44,319.82,333.64,309.91,17229475.0
2025-04-08,323.66,318.49,327.21,312.58,12722305.0
2025-04-09,315.1,339.92,345.02,313.37,16383152.0
2025-04-10,339.92,333.64,343.25,332.53,9671070.0
2025-04-11,332.53,338.07,346.81,329.73,9793280.0
2025-04-14,342.03,338.07,342.03,333.87,5800157.0
2025-04-15,334.97,334.01,336.22,329.82,5607471.0
2025-04-16,332.16,345.82,346.53,332.16,8990546.0
2025-04-17,343.46,342.38,345.02,341.1,4549775.0
2025-04-18,340.69,335.13,342.37,331.05,5255030.0
2025-04-21,333.82,337.24,338.36,332.93,3356598.0
2025-04-22,335.11,341.28,348.49,334.14,5805468.0
2025-04-23,340.66,336.81,341.28,332.9,5687448.0
2025-04-24,336.22,337.09,338.3,334.01,3209282.0
2025-04-25,335.48,334.95,337.61,330.68,4530073.0
2025-04-28,335.71,335.79,340.36,334.97,5478570.0
2025-04-29,335.48,335.79,336.23,331.43,2997860.0
2025-04-30,334.74,333.24,335.41,328.77,5569034.0
2025-05-06,335.93,338.12,339.89,333.24,5487258.0
2025-05-07,341.4,331.27,342.13,331.05,6680549.0
2025-05-08,330.78,331.71,332.75,328.74,3826180.0
2025-05-09,329.57,325.77,329.57,324.92,5289581.0
2025-05-12,327.3,322.68,327.9,321.45,5375785.0
2025-05-13,324.4,321.44,326.08,321.44,3913781.0
2025-05-14,321.52,322.88,324.77,320.1,4606277.0
2025-05-15,322.77,316.94,322.77,316.48,3924269.0
2025-05-16,316.64,316.71,320.48,315.54,3391493.0
2025-05-19,316.75,321.44,322.42,314.95,5286212.0
2025-05-20,321.44,320.45,323.64,319.05,3980135.0
2025-05-21,319.09,315.53,319.64,314.98,4948715.0
2025-05-22,316.64,312.47,317.75,312.39,4184937.0
2025-05-23,312.47,313.95,316.49,311.84,4935160.0
2025-05-26,315.45,318.91,323.59,315.07,7541764.0
2025-05-27,318.82,317.16,320.45,316.49,3466480.0
2025-05-28,316.29,308.39,317.71,308.22,5659139.0
2025-05-29,310.34,314.23,314.78,309.41,4887581.0
2025-05-30,313.29,309.3,314.63,309.3,3335916.0
2025-06-03,310.35,313.88,319.13,310.19,3941362.0
2025-06-04,313.88,314.3,316.2,312.95,2626665.0
2025-06-05,315.38,317.48,318.49,313.74,3672551.0
2025-06-06,317.75,318.11,320.62,316.77,3114644.0
2025-06-09,317.12,317.61,317.97,313.54,4584875.0
2025-06-10,315.53,308.14,315.69,308.14,5673133.0
2025-06-11,308.19,307.96,311.54,307.55,4081290.0
2025-06-12,306.66,298.7,307.03,297.06,9378710.0
2025-06-13,296.46,303.38,303.68,296.38,7229795.0
2025-06-16,300.04,304.74,306.23,299.7,3533513.0
2025-06-17,305.0,307.33,309.38,304.42,4218886.0
2025-06-18,307.33,307.39,309.82,305.36,3461008.0
2025-06-19,306.55,312.99,319.35,305.28,8000430.0
2025-06-20,310.8,315.36,316.27,310.73,4555206.0
2025-06-23,316.26,324.08,327.14,315.36,8256077.0
2025-06-24,322.91,322.05,325.56,318.02,5305213.0
2025-06-25,322.06,326.31,326.84,320.6,5719166.0
2025-06-26,326.62,323.59,328.01,323.23,4343736.0
2025-06-27,323.67,321.08,325.0,320.29,5346245.0
2025-06-30,320.68,326.77,331.42,319.97,7275842.0
2025-07-01,327.06,327.58,329.57,325.22,3509753.0
2025-07-02,328.69,323.01,328.83,321.69,4014061.0
2025-07-03,325.6,328.17,328.99,320.22,4067132.0
2025-07-04,326.99,335.15,341.51,326.01,7285849.0
2025-07-07,337.3,332.68,337.98,331.8,3739294.0
2025-07-08,334.1,333.97,334.83,330.02,3876050.0
2025-07-09,333.0,331.15,340.5,331.0,4388987.0
2025-07-10,330.99,329.83,332.0,324.0,4589539.0
2025-07-11,330.0,330.83,332.26,327.6,3733391.0
2025-07-14,330.0,324.19,330.45,323.8,3876118.0
2025-07-15,324.02,323.32,327.27,322.04,4122601.0
2025-07-16,322.5,320.86,325.36,320.6,3595399.0
2025-07-17,320.0,318.6,321.0,314.33,6291412.0
2025-07-18,320.0,325.19,330.33,320.0,8116601.0
2025-07-21,324.8,320.05,324.8,318.0,5991448.0
2025-07-22,318.71,322.14,322.29,315.5,7105229.0
2025-07-23,322.37,331.5,334.55,319.8,11913134.0
2025-07-24,331.44,338.65,339.08,330.5,7208560.0
2025-07-25,338.0,341.96,341.96,333.6,6236650.0
2025-07-28,341.96,343.65,344.36,337.18,5596520.0
2025-07-29,341.96,344.79,345.36,335.0,7315996.0
2025-07-30,343.99,349.2,355.6,342.16,8562739.0
2025-07-31,349.19,335.2,350.0,334.16,9343768.0
2025-08-01,334.0,329.8,335.88,327.2,5544362.0
2025-08-04,328.11,328.26,331.88,325.81,4633181.0
2025-08-05,329.24,328.5,331.7,325.5,4929485.0
2025-08-06,328.85,331.58,332.0,326.3,4932924.0
