date,open,close,high,low,volume,money
2025-01-02,18.04,17.91,18.35,17.56,2018217.0,36328396.06
2025-01-03,17.97,17.28,18.06,17.21,1220552.0,21590151.56
2025-01-06,17.28,16.44,17.35,16.13,2814558.0,46918875.8
2025-01-07,16.42,17.03,17.15,16.26,1933953.0,32366688.07
2025-01-08,16.83,16.45,17.08,16.14,2420518.0,39897476.68
2025-01-09,16.39,16.55,16.87,16.32,1497805.0,24963414.72
2025-01-10,16.5,15.57,16.85,15.52,2626891.0,42186455.76
2025-01-13,15.5,16.15,16.26,15.26,2375814.0,37818056.19
2025-01-14,16.4,16.74,16.86,16.25,2500570.0,41733027.92
2025-01-15,16.84,17.18,17.63,16.5,3524105.0,60653329.86
2025-01-16,17.17,16.9,17.44,16.8,2253061.0,38551305.42
2025-01-17,16.66,16.58,16.96,16.5,2302451.0,38527303.84
2025-01-20,16.58,16.44,16.84,16.3,1646061.0,27107374.23
2025-01-21,16.62,16.36,16.74,16.18,1696019.0,27864216.08
2025-01-22,16.35,16.02,16.35,15.88,1528680.0,24507926.91
2025-01-23,16.1,16.72,17.33,16.1,4598329.0,77693983.24
2025-01-24,17.2,18.95,19.35,17.2,6736507.0,123446927.18
2025-01-27,19.0,19.26,19.67,18.88,4464500.0,86123062.83
2025-02-05,19.6,20.95,21.98,19.5,8566833.0,175114482.63
2025-02-06,20.2,22.6,23.77,19.45,11233512.0,241575174.8
2025-02-07,21.3,21.65,22.66,21.3,11244806.0,245428473.45
2025-02-10,21.42,23.75,24.42,21.42,12364916.0,282168433.52
2025-02-11,23.73,22.58,23.73,22.22,9123055.0,208111804.85
2025-02-12,22.25,22.95,23.18,22.22,7078693.0,161890182.8
2025-02-13,22.9,24.02,24.38,22.4,10810219.0,252872581.47
2025-02-14,24.0,28.82,28.82,23.4,17100453.0,450146704.05
2025-02-17,29.0,27.06,29.0,26.8,12141840.0,335137601.22
2025-02-18,26.76,25.11,27.0,24.77,9878026.0,253418751.74
2025-02-19,25.37,25.7,25.94,24.88,6395247.0,162858883.34
2025-02-20,25.51,25.93,26.27,25.0,4822417.0,123052105.02
2025-02-21,26.58,27.45,28.45,25.9,9320700.0,254873812.15
2025-02-24,26.9,26.43,28.5,25.77,8198059.0,219755914.13
2025-02-25,25.42,25.68,26.32,25.08,6662057.0,171093714.98
2025-02-26,25.68,25.94,26.18,25.25,3813101.0,98177197.63
2025-02-27,26.02,25.39,26.21,24.77,5138112.0,130035500.42
2025-02-28,25.4,24.72,25.89,24.6,4681850.0,118206930.83
2025-03-03,24.87,25.88,27.5,24.47,7762576.0,203031865.33
2025-03-04,25.4,26.3,26.58,25.36,5556217.0,145494355.66
2025-03-05,26.24,26.0,26.47,25.51,3978318.0,103035495.9
2025-03-06,26.1,27.19,28.18,26.08,9511712.0,259047194.73
2025-03-07,27.21,26.51,27.59,26.12,4767276.0,128288519.38
2025-03-10,26.27,25.92,26.48,25.65,3452104.0,89474178.58
2025-03-11,25.11,25.45,25.76,25.0,3902732.0,98850096.93
2025-03-12,25.42,25.34,26.07,25.23,2612142.0,66923408.0
2025-03-13,25.3,24.83,25.3,24.46,2925939.0,72567753.84
2025-03-14,24.6,24.87,25.18,24.29,2776881.0,68762605.36
2025-03-17,25.13,25.05,25.4,24.75,3794571.0,95090317.98
2025-03-18,25.06,27.98,29.76,25.0,13400774.0,377268788.37
2025-03-19,27.94,26.95,29.98,26.7,9077221.0,254546385.34
2025-03-20,27.19,27.71,29.5,26.45,11185031.0,312198154.42
2025-03-21,27.3,25.93,27.3,25.45,10456862.0,272079044.28
2025-03-24,25.98,23.99,26.28,23.5,7599434.0,186951929.9
2025-03-25,23.98,25.36,26.14,23.68,7506615.0,190106476.03
2025-03-26,25.29,25.57,25.58,24.88,3780424.0,95355872.78
2025-03-27,25.44,23.97,26.24,23.9,6294747.0,156261021.93
2025-03-28,23.97,24.04,24.48,23.91,2583593.0,62368424.04
2025-03-31,23.85,23.28,23.85,22.73,6189803.0,142984422.89
2025-04-01,23.27,23.47,23.93,23.07,3676257.0,86457632.28
2025-04-02,23.5,23.38,23.84,23.09,2725862.0,63941977.02
2025-04-03,23.23,23.0,23.58,22.75,1686092.0,38969851.14
2025-04-07,21.09,18.4,21.85,18.4,4195118.0,82935330.97
2025-04-08,18.0,19.12,19.98,18.0,6210680.0,119306975.83
2025-04-09,19.44,20.4,20.65,17.86,6349249.0,124223749.75
2025-04-10,20.55,20.59,21.65,20.33,6587947.0,137387664.37
2025-04-11,20.55,20.71,21.27,20.16,3398514.0,70901663.58
2025-04-14,20.83,21.1,21.45,20.8,3118100.0,65918643.86
2025-04-15,20.99,21.88,22.66,20.9,6665061.0,146590959.75
2025-04-16,21.89,21.58,22.8,21.19,4659565.0,102155473.61
2025-04-17,21.98,22.16,22.77,21.52,4982906.0,111042430.52
2025-04-18,22.26,23.06,23.34,22.05,5026533.0,115203005.59
2025-04-21,22.65,23.76,24.04,22.6,4208608.0,98586395.6
2025-04-22,24.0,23.61,24.01,23.12,3442936.0,80952419.66
2025-04-23,24.08,23.08,24.43,22.93,3829293.0,90332028.06
2025-04-24,23.01,22.11,23.16,22.0,4194365.0,93874815.42
2025-04-25,22.2,22.97,23.34,21.93,3705419.0,83789457.7
2025-04-28,22.91,22.89,23.06,22.33,2967900.0,67135108.99
2025-04-29,21.79,21.7,22.45,21.01,5387554.0,117387576.38
2025-04-30,21.81,21.37,22.39,21.32,5620957.0,122007175.21
2025-05-06,21.51,23.25,23.47,21.5,6254159.0,142538680.19
2025-05-07,23.74,22.76,23.74,22.39,3860956.0,88196223.01
2025-05-08,22.74,22.66,23.73,22.43,5279362.0,120953919.3
2025-05-09,22.69,20.94,22.69,20.79,7732690.0,164833634.8
2025-05-12,21.13,21.56,21.76,20.93,3841462.0,81874231.7
2025-05-13,22.0,20.91,22.02,20.84,4097250.0,87317517.12
2025-05-14,20.97,20.85,21.25,20.59,2730647.0,57090132.99
2025-05-15,21.0,20.22,21.0,20.1,2603778.0,52854644.54
2025-05-16,20.23,20.5,20.79,19.92,2681875.0,54832756.83
2025-05-19,20.71,20.87,21.38,20.23,4337105.0,90834274.39
2025-05-20,21.11,20.88,21.2,20.52,2067854.0,43095342.78
2025-05-21,21.09,20.6,21.09,20.46,1367328.0,28168754.35
2025-05-22,20.68,20.32,20.85,20.25,1440273.0,29462111.95
2025-05-23,20.29,19.9,20.45,19.87,1728744.0,34780811.48
2025-05-26,19.99,20.0,20.24,19.85,1500113.0,30072182.27
2025-05-27,20.3,19.45,20.3,19.23,2839826.0,55437065.5
2025-05-28,19.49,19.25,19.58,19.05,1705424.0,32816964.77
2025-05-29,19.29,20.24,20.31,19.29,3137541.0,62179383.29
2025-05-30,20.16,19.6,20.19,19.55,1680979.0,33097755.53
2025-06-03,19.55,19.79,20.25,19.53,2456485.0,48728712.19
2025-06-04,19.79,19.8,19.93,19.66,1211428.0,23973561.58
2025-06-05,19.92,20.15,20.29,19.61,2190149.0,43798436.55
2025-06-06,20.2,20.38,20.87,19.89,3643241.0,74129134.49
2025-06-09,20.42,20.7,20.88,20.16,2561298.0,52641616.7
2025-06-10,20.7,21.47,21.7,20.5,6226845.0,131693433.81
2025-06-11,21.27,20.88,21.59,20.52,4187087.0,87277652.8
2025-06-12,20.9,20.87,21.2,20.53,2078353.0,43527029.29
