date,open,close,high,low,volume
2023-01-03,21.13,21.89,21.94,20.83,3836296.0
2023-01-04,21.78,22.2,22.29,21.64,3597248.0
2023-01-05,22.28,22.12,22.45,22.03,2481190.0
2023-01-06,22.21,21.83,22.26,21.78,2284813.0
2023-01-09,21.83,21.84,22.3,21.75,1921640.0
2023-01-10,21.89,22.06,22.26,21.64,2204840.0
2023-01-11,22.0,21.76,22.25,21.73,2340019.0
2023-01-12,21.77,21.97,22.18,21.66,2194217.0
2023-01-13,21.97,21.9,22.1,21.69,1696768.0
2023-01-16,22.1,22.55,22.98,21.98,4043636.0
2023-01-17,22.64,22.22,22.64,22.07,2844235.0
2023-01-18,22.35,22.48,22.67,22.05,2666527.0
2023-01-19,22.35,22.93,22.94,22.28,3390060.0
2023-01-20,22.88,23.14,23.3,22.8,3245550.0
2023-01-30,24.66,26.6,27.02,23.82,22651222.0
2023-01-31,26.04,25.76,26.36,24.84,14588541.0
2023-02-01,25.57,26.78,26.92,25.57,13036517.0
2023-02-02,26.7,27.42,28.98,26.69,22705843.0
2023-02-03,27.14,28.54,29.02,27.0,14447172.0
2023-02-06,28.92,30.13,31.07,28.92,18473605.0
2023-02-07,30.0,30.11,31.72,29.05,18166488.0
2023-02-08,30.0,29.35,30.54,29.21,13760940.0
2023-02-09,28.57,28.69,29.09,28.14,11378088.0
2023-02-10,29.01,29.01,30.2,28.8,14043454.0
2023-02-13,29.18,29.77,29.77,28.02,12462559.0
2023-02-14,32.85,31.1,34.28,30.46,35360032.0
2023-02-15,31.85,35.14,36.1,29.92,38042104.0
2023-02-16,34.21,37.14,38.83,33.71,42533713.0
2023-02-17,37.49,34.94,38.48,34.68,35038636.0
2023-02-20,36.42,39.64,40.22,36.36,41740686.0
2023-02-21,38.7,38.6,41.03,37.82,37904542.0
2023-02-22,37.67,36.91,37.85,34.88,33359716.0
2023-02-23,35.94,34.28,36.05,33.61,28754731.0
2023-02-24,34.28,34.4,34.99,33.57,20456037.0
2023-02-27,33.9,32.99,34.88,32.7,17361363.0
2023-02-28,33.29,32.72,33.39,31.25,24013734.0
2023-03-01,32.35,35.64,36.69,32.03,36100953.0
2023-03-02,35.92,39.5,40.39,35.87,36953536.0
2023-03-03,37.94,41.84,42.53,37.94,34315910.0
2023-03-06,41.44,40.48,42.91,39.57,21230975.0
2023-03-07,40.31,40.44,42.83,39.64,22741100.0
2023-03-08,40.5,38.89,41.15,37.59,24862167.0
2023-03-09,38.39,38.71,39.64,37.61,17341194.0
2023-03-10,37.85,38.85,40.59,37.72,21894902.0
2023-03-13,38.86,46.62,46.62,37.97,34414600.0
2023-03-14,47.56,45.0,48.16,44.5,31450515.0
2023-03-15,46.46,45.14,47.13,42.45,27370185.0
2023-03-16,44.39,49.69,52.99,43.21,34255918.0
2023-03-17,50.93,50.24,53.35,49.71,35828891.0
2023-03-20,51.48,51.71,52.49,48.48,26183469.0
2023-03-21,48.69,49.32,51.32,48.16,26933999.0
2023-03-22,47.96,52.42,53.41,47.16,32584096.0
2023-03-23,51.14,51.27,52.53,48.92,23841023.0
2023-03-24,53.92,55.01,57.85,53.85,29841723.0
2023-03-27,52.37,56.63,58.97,52.37,27246099.0
2023-03-28,54.99,51.07,54.99,51.07,22760890.0
2023-03-29,50.71,52.39,54.91,49.99,23126250.0
2023-03-30,51.53,52.14,53.16,50.53,14673147.0
2023-03-31,52.59,54.41,54.91,49.14,24886571.0
2023-04-03,52.71,58.21,59.48,52.71,28391491.0
2023-04-04,57.13,54.99,57.98,54.76,18811035.0
2023-04-06,51.42,49.01,54.03,48.49,22684822.0
2023-04-07,50.01,52.41,53.67,48.59,22137913.0
2023-04-10,52.49,50.49,57.43,49.71,27393158.0
2023-04-11,50.51,53.28,55.33,50.49,21356950.0
2023-04-12,59.28,63.93,63.93,57.56,33852921.0
2023-04-13,65.78,62.58,68.55,62.13,28722824.0
2023-04-14,63.64,59.92,64.49,57.0,22667179.0
2023-04-17,59.99,58.56,60.56,55.7,18269073.0
2023-04-18,58.62,62.85,64.44,56.79,23401952.0
2023-04-19,60.71,64.3,65.63,60.71,23201507.0
2023-04-20,63.7,77.17,77.17,63.48,25931580.0
2023-04-21,75.7,82.13,86.27,74.92,33877716.0
2023-04-24,82.33,84.13,86.06,80.43,21673146.0
2023-04-25,84.99,95.69,96.14,84.27,22795998.0
2023-04-26,95.14,92.12,96.13,86.42,23431804.0
2023-04-27,87.13,83.56,89.84,79.92,22497648.0
2023-04-28,86.42,100.27,100.27,86.42,22243341.0
2023-05-04,104.27,113.2,117.44,101.06,23764850.0
